"","name","genre","rating","synopsis"
"1","Spider-Man: Across the Spider-Verse","
Animation, Action, Adventure            ","8.6","
Miles Morales catapults across the multiverse, where he encounters a team of Spider-People charged with protecting its very existence. When the heroes clash on how to handle a new threat, Miles must redefine what it means to be a hero."
"2","Oppenheimer","
Biography, Drama, History            ","8.3","
The story of American scientist J. Robert Oppenheimer and his role in the development of the atomic bomb."
"3","Godzilla Minus One","
Action, Adventure, Drama            ","8.3","
Post war Japan is at its lowest point when a new crisis emerges in the form of a giant monster, baptized in the horrific power of the atomic bomb."
"4","Kaiva","
Action, Drama, Romance            ","7.3","
Inspired from the true incidents occurred in Bengaluru - 1983, Kaiva brings the visual grandeur of Old Bengaluru showing the lights of world famous Bengaluru Karaga and the dark underworld of the city as well."
"5","Past Lives","
Drama, Romance            ","7.9","
Nora and Hae Sung, two deeply connected childhood friends, are wrested apart after Nora's family emigrates from South Korea. Twenty years later, they are reunited for one fateful week as they confront notions of love and destiny."
"6","The Holdovers","
Comedy, Drama            ","8","
A cranky history teacher at a prep school is forced to remain on campus over the holidays with a grieving cook and a troubled student who has no place to go."
"7","Guardians of the Galaxy Vol. 3","
Action, Adventure, Comedy            ","7.9","
Still reeling from the loss of Gamora, Peter Quill rallies his team to defend the universe and one of their own - a mission that could mean the end of the Guardians if not successful."
"8","Sirf Ek Bandaa Kaafi Hai","
Crime, Drama, Thriller            ","8","
A common man with honesty and integrity can take on the system when he has truth on his side."
"9","Dunki","
Comedy, Drama            ","6.7","
When his friends in Punjab struggle to clear the immigration process, an ex-soldier guides them on a risky journey to enter the UK without permission."
"10","Killers of the Flower Moon","
Crime, Drama, History            ","7.6","
When oil is discovered in 1920s Oklahoma under Osage Nation land, the Osage people are murdered one by one - until the FBI steps in to unravel the mystery."
"11","Anatomy of a Fall","
Crime, Drama, Thriller            ","7.8","
A woman is suspected of murder after her husband's death; their half-blind son faces a moral dilemma as the main witness."
"12","John Wick: Chapter 4","
Action, Crime, Thriller            ","7.7","
John Wick uncovers a path to defeating The High Table. But before he can earn his freedom, Wick must face off against a new enemy with powerful alliances across the globe and forces that turn old friends into foes."
"13","Mission: Impossible - Dead Reckoning Part One","
Action, Adventure, Thriller            ","7.7","
Ethan Hunt and his IMF team must track down a dangerous weapon before it falls into the wrong hands."
"14","Sound of Freedom","
Biography, Crime, Drama            ","7.7","
The incredible true story of a former government agent turned vigilante who embarks on a dangerous mission to rescue hundreds of children from traffickers."
"15","OMG 2","
Comedy, Drama            ","7.6","
An unhappy civilian asks the court to mandate comprehensive education in schools in a dramatic yet amusing courtroom play."
"16","Nimona","
Animation, Action, Adventure            ","7.5","
When a knight in a futuristic medieval world is framed for a crime he didn't commit, the only one who can help him prove his innocence is Nimona -- a mischievous teen who happens to be a shapeshifting creature he's sworn to destroy."
"17","Guy Ritchie's the Covenant","
Action, Drama, Thriller            ","7.5","
During the war in Afghanistan, a local interpreter risks his own life to carry an injured sergeant across miles of grueling terrain."
"18","12th Fail","
Biography, Drama            ","9","
The real-life story of IPS Officer Manoj Kumar Sharma and IRS Officer Shraddha Joshi."
"19","The Boy and the Heron","
Animation, Adventure, Drama            ","7.6","
In the wake of his mother's death and his father's remarriage, a headstrong boy named Mahito ventures into a dreamlike world shared by both the living and the dead."
"20","Poor Things","
Comedy, Drama, Romance            ","8","
The incredible tale about the fantastical evolution of Bella Baxter, a young woman brought back to life by the brilliant and unorthodox scientist Dr. Godwin Baxter."
"21","Society of the Snow","
Adventure, Biography, Drama            ","7.8","
The flight of a rugby team crashes on a glacier in the Andes. The few passengers who survive the crash find themselves in one of the world's toughest environments to survive."
"22","Kho Gaye Hum Kahan","
Comedy, Drama, Romance            ","7.5","
Ahana, Neil and Imaad are three friends in their 20s trying to find meaning in the digital age. They lean on each other as they navigate complexities of relationships and self-discovery."
